ID,LOCATION,ADDRESS,LAT,LONG
83730633,Georgetown Air Services LLC,21553 Rudder Ln Georgetown DE 19947,38.6904941,-75.3633756
N1080663,Walgreen's - Suburban Plaza #11028,216 Surburban Drive Newark DE 19711,39.6685523,-75.7766198
83730419,Wilson Baker - Georgetown Exxon,22168 DuPont Blvd Georgetown DE 19947,38.682008,-75.3965266
P328594,VIETNAM PALACE,222 N 11th St Philadelphia PA 19107,39.9562991,-75.1574929
P408843,BUY RITE LIQUOR - PENNINGTON,"222 NJ-31, Pennington Pennington NJ 08534",40.3088592,-74.7879696
P328496,MERRYMEAD FARM,2222 S Valley Forge Rd Lansdale PA 19446,40.2093989,-75.3334424
83730492,DMV - Wilmington,2230 Hessler Blvd New Castle DE 19720,39.7147037,-75.5647188
N1080646,Walgreen's - Oxford Park #11074,2235 Baltimore Pike Oxford PA 19363,39.7698318,-75.9879585
P328387,CAPONES,224 W Germantown Pike Norristown PA 19401,40.1465588,-75.3257078
P370403,SUNSET HILL SHOOTING RANGE,2282 PA-314 Henryville PA 18332,41.0838429,-75.2778467
83730416,Wilson Baker - Seaford Exxon,22909 Sussex Hwy Seaford DE 19973,38.6607055,-75.5933007
N1080708,Walgreen's - Seaford #11621,22998 Sussex Highway Seaford DE 19973,38.657382,-75.5966662
P328343,ARDMORE MUSIC HALL,23 E Lancaster Ave Ardmore PA 19003,40.0076363,-75.2899667
N1080641,Walgreen's - Pennsville Crossing #11027,230 South Broadway Pennsville NJ 08070,39.6429867,-75.5170244
